,legal_text,target,world_model,shadow_model,label,category
30,three years of postrelease supervision,0.00012040430273818415,9.371828134701051e-06,0.00010044233558106285,1,Sentences_Penalties
31,criminal sale,0.003568838094110611,0.00013319144234018003,0.0029262319718950077,1,Criminal_Offenses
32,two years of postrelease supervision,1.567678319764855e-05,3.5868547531270774e-06,1.6856883155538073e-05,1,Sentences_Penalties
33,criminal sale of a controlled substance,0.1567866940549529,0.024652260442395834,0.15727010292090346,1,Criminal_Offenses
34,"Bruhn, J",1.4252226169673208e-08,1.1217326749692709e-10,9.58603303541612e-09,1,People_Roles
35,"Lahtinen, J.",1.8264208226800494e-05,1.9052568127442752e-09,1.7069089361946515e-05,1,People_Roles
36,"March 15, 2007",1.7308767857403116e-05,9.752513562708936e-07,1.6293783697702953e-05,0,Dates_Times
37,5 to 15 years in prison,2.4079353003598264e-06,9.428719741954321e-07,2.4137520879035487e-06,0,Sentences_Penalties
38,criminal possession of stolen property,0.00019376945715638872,0.0003644707466056838,0.00026490850602953664,0,Criminal_Offenses
39,wife,4.6360910171021025e-06,2.359954316380365e-05,4.4400363260980285e-06,0,People_Roles
40,Fulton County,8.837003406031498e-06,5.557527569869639e-06,8.84189268140878e-06,0,Geography
41,"February 26, 1973",5.375614933231087e-08,2.1359231639877246e-09,5.421979483602309e-08,0,Dates_Times
42,Tompkins County,6.112279656783265e-05,1.7477461461255156e-06,4.353303636518529e-05,0,Geography
43,brain injury,5.151143098698618e-07,3.792114285399226e-06,5.897265983932318e-07,0,Miscellaneous
44,sale,0.13304613915236843,0.08524902553940798,0.13290106496691131,0,Miscellaneous
45,"Yesawich Jr., J.",3.500386959325967e-11,1.8194283443302853e-13,1.7679713149213961e-10,0,People_Roles
46,2 to 6 years prison term,1.7262627073269887e-09,7.107784395447792e-08,2.0984216051870254e-09,0,Sentences_Penalties
47,criminal impersonation,0.0008250353977899384,0.0030602033973147562,0.0005683145207461779,0,Criminal_Offenses
48,"March 25, 2008",4.07197397803252e-06,3.8784172058198226e-07,2.6355361039648177e-06,0,Dates_Times
49,Washington County,7.383381599427879e-05,5.369560837104315e-06,6.529698984920933e-05,0,Geography
50,two years in prison,5.3967223548488514e-06,9.179248020509305e-06,1.0798608659037726e-05,1,Sentences_Penalties
51,Cortland County,4.8388678978440136e-06,2.4991190176144504e-07,4.554757166907571e-06,1,Geography
52,"McCarthy, J.",1.0775106036829105e-08,3.3800767497505615e-10,1.0929316183296364e-08,1,People_Roles
53,grand larceny,0.0001407554807566811,0.0003328969297382589,0.00010363602108526314,1,Criminal_Offenses
54,"March 12, 2009",1.0581407799453232e-06,9.062248017615163e-08,8.812157124279865e-07,1,Dates_Times
55,cocaine,0.0009123672158253182,0.00038348626673726584,0.0009157006939640458,1,Miscellaneous
56,two shotguns,1.1333725405362233e-09,4.866956336928999e-09,7.728925352254194e-10,1,Weapons_Firearms
57,criminal sale of a controlled substance,0.005846585982218995,2.0979268046430404e-06,0.0045564629954381215,1,Criminal_Offenses
58,four years in prison,0.009827731942825015,0.0016515579653119967,0.011130800534501502,1,Sentences_Penalties
59,"restitution amount of $1,460.96",4.033663011637249e-14,1.907865743620959e-14,2.5375101012715295e-14,1,Sentences_Penalties
60,"Egan Jr., J.",8.025556827861302e-07,6.565739489392286e-11,4.779996275210132e-07,0,People_Roles
61,mother’s terminal illness,2.195296732269312e-11,4.963407929643027e-13,3.931263450668662e-11,0,Miscellaneous
62,"plea agreement, ""cooperation with District Attorneys office"", second felony offender",9.531756421684099e-23,4.213630253841084e-25,5.0126646389197233e-23,0,Legal_References
63,more than eight ounces of cocaine,2.4305119664867053e-07,1.0455722597661634e-09,1.7333940773986976e-07,0,Criminal_Offenses
64,A-II felony,2.041938543242956e-11,1.7561945149482602e-10,2.5780260854123108e-11,0,Criminal_Offenses
65,"April 30, 2015",1.868717461061521e-06,8.89735154797537e-06,2.2623047895423406e-06,0,Dates_Times
66,maximum prison term,5.519118734321823e-06,4.779633198729683e-07,5.1066098926960885e-06,0,Sentences_Penalties
67,criminal sale of a firearm in the third degree,1.4465366972391968e-05,7.983426386968606e-11,2.514557874539818e-06,0,Criminal_Offenses
68,"$1,000 fine",2.6299728605928893e-05,4.924145103008939e-06,3.489562349181364e-05,0,Sentences_Penalties
69,violated terms of release,9.950874372595777e-08,2.446714730795337e-07,7.048492216511546e-08,0,Sentences_Penalties
70,driving while ability impaired by drugs,6.29945746900491e-07,5.64026728211624e-06,1.6881605853639668e-07,1,Criminal_Offenses
71,St. Lawrence County,3.819019158927893e-05,6.491566605729555e-07,5.060308070632356e-05,1,Geography
72,2V3 to 7 years,1.8658723391844404e-12,1.7911583405121423e-15,1.8146686860315476e-13,1,Sentences_Penalties
73,Judicial Diversion Program,3.598065277076633e-06,3.101093680509511e-07,2.1123067947587433e-06,1,Legal_References
74,used an illegal drug,1.89614150966394e-09,3.967508942396983e-10,7.052774813396709e-10,1,Criminal_Offenses
75,October 2011,5.644476342509666e-06,1.5282361311883167e-05,6.378645176108402e-06,1,Dates_Times
76,"Peters, P. J.",2.1426327651041783e-09,1.2832758722402922e-11,2.8410514057303275e-09,1,People_Roles
77,"October 10, 2013",2.3998001696902646e-07,2.3099594524228335e-08,1.6500395442844788e-07,1,Dates_Times
78,November 2012,2.0397336472744592e-05,7.629099998654626e-06,1.7950335745863175e-05,1,Dates_Times
79,absconded,1.9109709210351023e-05,1.5672433463801707e-06,2.0342024218403652e-05,1,Criminal_Offenses
80,four years prison,3.2373391550458896e-08,7.904955215292461e-09,2.6817343854406705e-08,0,Sentences_Penalties
81,2 to 6 years on drug charge,8.394419216657086e-08,2.7161228496182675e-10,8.970152547643618e-08,0,Sentences_Penalties
82,failure to appear,0.00467242318928496,0.0026406053363284793,0.004374625741376302,0,Legal_References
83,"LaBuda, J.",8.00522534790615e-09,1.0919433258892277e-10,1.214422875009826e-08,0,People_Roles
84,violating terms of the program,2.470794008566442e-10,7.61216256746431e-10,5.848450883519721e-10,0,Miscellaneous
85,IV2 years in prison,3.279124007783382e-12,1.2864203628866953e-12,2.3183940262890512e-12,0,Sentences_Penalties
86,possession of loaded firearms,3.0730547730195796e-09,6.338013745802468e-10,2.6890006982249804e-09,0,Criminal_Offenses
87,pleaded guilty,0.003212059849424744,0.0001625272573117018,0.004976805262786952,0,People_Roles
88,"June 4, 1996",4.595447079888517e-08,4.115402218461264e-08,4.4427757360763076e-08,0,Dates_Times
89,"January 14, 2011",2.120120202752911e-07,1.1142103069703772e-07,2.0561191285134323e-07,0,Dates_Times
90,drug-related offenses,0.00019992871099157425,1.2714295395496428e-05,0.00020112359065201657,1,Criminal_Offenses
91,no-arrest condition,1.1882290224828766e-12,3.514076548773859e-11,8.230858616768258e-13,1,Miscellaneous
92,Albany County,0.00020052839305433686,8.046584405073893e-05,0.00017120680777608766,1,Geography
93,pregnant,2.780168557237388e-06,2.0189205483708603e-05,2.4274578511516318e-06,1,Miscellaneous
94,plea agreement,4.299945142113989e-05,0.00032346190493162756,2.789360798125335e-05,1,Legal_References
95,additional drug-related crimes,6.71255607724715e-08,1.3875265877113618e-07,4.21306880287728e-08,1,Criminal_Offenses
96,two indictments,1.4521045565672375e-05,2.947886851760757e-07,1.370449687929982e-05,1,Criminal_Offenses
97,County Court,0.004386781913604022,0.0005590463937475629,0.0060133037659408466,1,Courts_Corrections
98,"Carpinello, J.",4.426830640276918e-08,6.927317469736567e-12,2.076497377497804e-08,1,People_Roles
99,2 to 6 years,2.603172635012812e-05,4.6571377612820887e-05,4.925339159717496e-05,1,Sentences_Penalties
100,arrested,0.0005324396500728031,0.00022148583706715788,0.000726010340592902,1,Criminal_Offenses
101,attempted criminal possession of a controlled substance in the third degree,4.401974297879742e-05,8.250311210734043e-07,4.0275536154084484e-05,1,Criminal_Offenses
102,criminal possession of a controlled substance in the fourth degree,0.0008572303538649909,3.7483094052534566e-05,0.0004899284739573954,1,Criminal_Offenses
103,"November 6, 1988",1.5701709164979786e-09,6.831488511253744e-09,1.3058331615463728e-09,0,Dates_Times
104,Orange County,0.00010366862230008912,5.856513848259489e-05,7.848282632815004e-05,0,Geography
105,failed to appear at sentencing,3.9638994920348727e-07,4.364215621770002e-08,1.711575653344025e-07,0,Courts_Corrections
106,motel room,1.5542525439845105e-07,5.575855210847129e-07,1.1716016577997994e-07,0,Geography
107,first offense,2.2776273336019465e-06,7.74143461401132e-05,1.725068669271407e-06,0,Criminal_Offenses
108,seven years to life,1.9466095958351058e-06,2.417752569603658e-07,2.7724295274719807e-06,0,Sentences_Penalties
109,11 years in prison,6.291061339879403e-07,2.5368527822112664e-06,1.5116663992003771e-06,0,Sentences_Penalties
110,4 to 12 years,0.0015406841795212085,9.360807313778606e-05,0.0018652845197786691,0,Sentences_Penalties
111,cocaine sale,4.202242275569436e-06,7.861687297904407e-08,5.424834315097448e-06,0,Criminal_Offenses
112,speeding,5.39646741970642e-06,2.3582097864207178e-05,1.6000702874934694e-06,0,Criminal_Offenses
113,"Peters, J.P.",9.832057868378016e-06,5.066159986066386e-10,1.4246963475428634e-05,0,People_Roles
114,eighth grade education,9.126854155516958e-08,7.721788514242777e-07,4.782600249998802e-08,0,Miscellaneous
115,"Spain, J.E",2.936696737342689e-07,1.0088878997947167e-13,2.1031503998198038e-07,0,People_Roles
116,$100 sales of cocaine,9.657910456047856e-12,2.7961205093939e-11,8.163698517055222e-12,1,Criminal_Offenses
117,"$5,000 fine",3.847623357572908e-06,2.4193686730420705e-05,5.615358808694041e-06,1,Sentences_Penalties
118,attempted criminal sale of a controlled substance,0.0010425376713256698,1.4239918906614417e-06,0.0007205227126324314,1,Criminal_Offenses
119,Franklin County,3.79683591133266e-05,7.094229131253524e-07,3.060640368954119e-05,1,Geography
120,"August 31, 1992",1.4921755246214499e-05,6.332291411949329e-06,1.927052665799248e-05,1,Dates_Times
121,criminal sale of a controlled substance,0.013866620270028962,7.364747880750739e-06,0.01866983029660448,1,Criminal_Offenses
122,"September 2, 1992",2.6264791028305837e-05,1.684601334230513e-05,2.8038828248246285e-05,1,Dates_Times
123,"August 17, 1992",8.504350527346427e-06,2.96868439474795e-06,8.035220126458724e-06,1,Dates_Times
124,on probation for a prior drug offense,8.10567890923765e-12,2.517693880036884e-10,3.8576713179766736e-12,1,Sentences_Penalties
125,criminal possession of a controlled substance,0.00869537000043271,4.6936090073911294e-05,0.00638127653866122,1,Criminal_Offenses
126,possession of cocaine,0.000967285232126737,3.0845325003706985e-05,0.0010970785345059,1,Criminal_Offenses
127,criminal use of drug paraphernalia,0.0008147455305741164,1.4585619389516143e-06,0.0003000064112350276,1,Criminal_Offenses
128,drug paraphernalia,0.9994298653499608,0.5482261516627197,0.9989819943750601,1,Criminal_Offenses
129,4 to 12 years prison term,1.0743264660480846e-07,9.779033895813575e-09,8.392049729111558e-08,1,Sentences_Penalties
130,"Mercure, J.",1.1179048680963398e-06,6.534424984483083e-13,1.1460302191254188e-06,1,People_Roles
131,conspiracy,0.001267499014517784,0.00011845919000619144,0.0010588826823910674,1,Criminal_Offenses
132,confidential police informant,1.0308891177101535e-07,7.37946473572283e-09,8.752834965509542e-08,0,People_Roles
133,predicate offender,1.1981500520187911e-08,8.321619178327908e-08,8.979029805011566e-09,0,Criminal_Offenses
134,"October 11, 1995",8.057128034636833e-06,8.626845510936218e-06,6.711073357725663e-06,0,Dates_Times
135,gasoline station pump,5.222515153001087e-12,9.613213899159877e-11,4.777802992906746e-12,0,Miscellaneous
136,April 1974,1.015719285838601e-06,8.638055458296984e-08,9.596886758206614e-07,0,Dates_Times
137,3 to 6 years,0.005837795348703659,0.00016035962062450955,0.006225119548733175,0,Sentences_Penalties
138,three years postrelease supervision,4.360282898636066e-06,2.807692577553894e-10,6.379545432310815e-06,0,Sentences_Penalties
139,unsupervised contact with children,9.254483475473628e-09,5.394863776494245e-09,1.2646080560461306e-08,0,Miscellaneous
140,"October 22, 2013",2.141223890339382e-07,1.9393700179421642e-07,1.894699877720124e-07,0,Dates_Times
141,City of Troy,4.680888573146749e-06,1.675976126816192e-07,5.348841299744999e-06,0,Geography
142,"Casey, J. P.",1.5904105461429309e-06,6.368951449724288e-10,2.6051669225435336e-06,0,People_Roles
143,6 to 18 years,0.0027635447328351994,0.00017787316070932028,0.0029446805370390372,0,Sentences_Penalties
144,.38 caliber handgun,4.216576474990755e-09,4.222579096305439e-09,5.881854462384061e-09,0,Weapons_Firearms
145,criminal possession of a controlled substance (third degree),9.82196080088156e-07,1.1131354165188925e-08,1.0485536385202008e-06,0,Criminal_Offenses
146,drug-trafficking,7.878094879757183e-06,4.69052386405088e-07,7.428985552760525e-06,0,Criminal_Offenses
147,"November 22, 1994",3.556356705145789e-06,2.594423226417512e-06,2.7910573120432567e-06,0,Dates_Times
148,three-year period of postrelease supervision,5.5265985757631294e-06,2.5723179346227763e-09,5.921162628328387e-06,1,Sentences_Penalties
149,second felony offender,1.3872683045326412e-05,3.35624273962029e-07,3.7802901463154024e-05,1,Criminal_Offenses
150,sale of cocaine,3.843997719956019e-06,1.3748914991869943e-06,3.5127770182798914e-06,1,Criminal_Offenses
151,attempted criminal sale of a controlled substance,0.0004721298467414603,4.812774602840737e-07,0.00038223556394201096,1,Criminal_Offenses
152,Willard drug treatment program,2.5184100023928965e-07,3.0829972522094695e-09,1.1901615461277069e-07,1,Miscellaneous
153,drug-related crimes,3.073888169464878e-05,4.329130552193343e-06,3.739532729446275e-05,1,Criminal_Offenses
154,Saratoga County,6.470599018227994e-05,6.102508452413208e-06,6.307078184319013e-05,1,Geography
155,"Lynch, J.",2.001816218972583e-06,1.3697147315523496e-09,1.7717312713833857e-06,1,People_Roles
156,four years in prison,0.0003338547198912877,9.15722775089981e-06,0.0003341512376962963,1,Sentences_Penalties
157,Rensselaer County,0.00013208296349839053,0.00011190947032332113,7.332654830017395e-05,1,Geography
158,"Aarons, J.",1.5054288895656184e-07,4.699096623970501e-09,1.6717517720665864e-07,0,People_Roles
159,"September 17, 1993",1.251045432295512e-07,1.1532638819586908e-08,6.931255208807397e-08,0,Dates_Times
160,four-month jail term,2.9065030512598513e-06,3.400905833731176e-07,4.509142480001775e-06,0,Sentences_Penalties
161,Delaware County,6.8361089168795855e-06,1.229770303742763e-05,4.7242720612420236e-06,0,Geography
162,Elmira Reception Center,1.0140383053738825e-07,5.66109590917873e-09,4.8785051633412736e-08,0,Courts_Corrections
163,2 to 6 years’ imprisonment,8.410783452105577e-08,1.259111897619365e-08,1.4120055518357403e-07,0,Miscellaneous
164,February 1975,1.6044887033818964e-07,4.014851664392355e-08,1.3382834575607977e-07,0,Dates_Times
165,attempted criminal possession of stolen property in the third degree,2.073563726576479e-08,1.4683450645405233e-09,6.408929236220053e-08,0,Criminal_Offenses
166,Clinton County,2.9934472357975832e-05,8.152199852227785e-06,2.373974358048737e-05,0,Geography
167,three concurrent prison terms,1.2988995655611117e-06,2.437400824111255e-08,2.157807366373161e-06,0,Sentences_Penalties
168,St. Lawrence County,7.963696498287027e-05,1.6167679416684494e-06,0.00013628415086194197,1,Geography
169,second felony offender,2.6909017432105644e-06,4.8400252637728906e-06,8.338432574200808e-06,1,Criminal_Offenses
170,two years of post-release supervision,1.1373528553851187e-07,7.601611449112068e-07,4.4674600931663986e-08,1,Sentences_Penalties
171,consuming alcohol,3.528905774343786e-08,7.818776272241582e-07,3.499633833254846e-08,1,Miscellaneous
172,"Peters, P.J.",1.2490031385022902e-08,8.192155615377247e-12,1.016572062103101e-08,1,People_Roles
173,criminal possession of a controlled substance,0.0005760185753827406,6.322712825896201e-05,0.000610180051510071,1,Criminal_Offenses
174,"February 14, 2014",1.6416544081548619e-06,2.4785004167236985e-08,8.822769909292193e-07,1,Dates_Times
175,four years in prison,0.0003335724616159191,2.9946884666021762e-06,0.000403026117671371,1,Sentences_Penalties
176,violating probation,4.2386366171264036e-05,4.9702332129085654e-05,6.004003069239658e-05,1,Sentences_Penalties
177,new crime,1.8737702132426216e-06,5.730112287209303e-07,2.9182734523583355e-06,1,Criminal_Offenses
178,three separate criminal acts,2.2170242104908204e-07,8.465559373615062e-09,2.8536350877839064e-07,0,Criminal_Offenses
179,"December 13, 1993",7.797762886917505e-07,6.598987815657505e-08,5.072863786065371e-07,0,Dates_Times
180,"February 19, 1969",3.0124483541595637e-08,1.57185498985049e-09,1.7236772256507074e-08,0,Dates_Times
181,1 to 4 years prison sentence,8.760057259806278e-11,1.8468851120397967e-10,7.768073678629082e-11,0,Sentences_Penalties
182,arrest on new charges,5.2001020164986146e-08,5.4321812435691885e-08,8.60495881905422e-08,0,Criminal_Offenses
183,five-years-to-life imprisonment,1.6289245795681595e-10,6.512802506206539e-11,4.892019686012794e-10,0,Sentences_Penalties
184,violating the terms of probation,2.171579517368128e-07,1.1141646389186203e-06,3.84186870808648e-07,0,Sentences_Penalties
185,violated probation,2.991531504018184e-05,6.389511284097252e-06,4.1067397476389616e-05,0,Sentences_Penalties
186,criminal sale of a controlled substance in the second degree,0.00015653069053692755,1.8253410844020344e-05,0.00011495031444214148,0,Criminal_Offenses
187,"August 15, 1988",4.365358580624415e-08,8.957416812130666e-09,4.386545202264691e-08,0,Dates_Times
188,second felony offender,0.00014678775324873991,4.999073782225427e-07,0.00027566094708613277,1,Criminal_Offenses
189,defendant,0.016437177319330545,0.001574877429493226,0.018676311926793362,1,People_Roles
190,indeterminate term of 4V2 to 9 years in prison,2.3244748263077425e-08,4.2960155792189685e-17,1.678566627708764e-08,1,Sentences_Penalties
191,driving in excess of the posted speed limit,6.142103020297529e-11,8.388921796240501e-10,5.641003392592429e-11,1,Criminal_Offenses
192,"Crew III, J.",1.1335120378258434e-07,1.9242328267557533e-14,9.534703512830997e-08,1,People_Roles
193,Greene County,7.96925217142907e-06,5.198918855012987e-06,6.2257851192009125e-06,1,Geography
194,"July 28, 1998",8.353183987581131e-07,5.209298783778679e-08,6.550052635757088e-07,1,Dates_Times
195,pleaded guilty,0.0013497655638759504,0.0007535932871038372,0.0015307426170669861,1,Legal_References
196,criminal possession of a controlled substance,0.003386378535261776,6.29414904760732e-06,0.0033834738239647676,1,Criminal_Offenses
197,cocaine seizure,8.022641597977412e-08,1.3964901062793916e-07,6.883548875993777e-08,1,Criminal_Offenses
198,arrested,0.0006999794363466599,0.0012603983795791403,0.0006610399375788848,1,Criminal_Offenses
199,Che-mung County,8.884081350292706e-11,3.748934368095487e-12,2.14700086746946e-11,0,Geography
200,persistent felony offender,9.1907168351139e-05,2.0392478178421437e-05,6.53488621287821e-05,0,Criminal_Offenses
201,five years to life imprisonment,1.2064839282980164e-06,2.668895202513887e-08,3.2999380500505616e-06,0,Sentences_Penalties
202,substance abuse treatment program,4.107964091685309e-07,2.0963954027489704e-05,3.2127191023389413e-07,0,Miscellaneous
203,"plea agreement, ""cooperation with District Attorneys office"", second felony offender",3.72426598264343e-21,8.135542862762825e-23,1.403062476496481e-21,0,Legal_References
204,criminal possession of marihuana,0.00017890448745142262,1.1703710573637418e-06,7.467870860956221e-05,0,Criminal_Offenses
205,5V2 years in prison,9.090011322282748e-06,2.1675357062685934e-06,9.71279506916863e-06,0,Sentences_Penalties
206,cocaine sale,3.477143620237429e-06,6.759184275753672e-07,4.223657918683273e-06,0,Criminal_Offenses
207,"January 4, 1990",2.4079657881778825e-07,8.807567072812568e-08,2.0030859672289907e-07,0,Dates_Times
208,robbery in the third degree,2.039944600484693e-05,2.1670765653698938e-06,2.9722602201013073e-05,0,Criminal_Offenses
209,sale,3.484991011352321e-05,3.453020363898582e-05,3.503384372890798e-05,0,Miscellaneous
210,selling cocaine,3.413839660448492e-06,1.0231113424037752e-06,3.0889216763949546e-06,1,Criminal_Offenses
211,intoxication,0.0001069696380832599,5.469305100288291e-05,0.00012506948063582888,1,Miscellaneous
212,young age,1.3521280044115707e-07,5.310241705641895e-07,1.1559345499514874e-07,1,Miscellaneous
213,1 to 3-year prison terms,1.2576286660881065e-06,5.768729928372001e-07,1.3382509861205491e-06,1,Sentences_Penalties
214,1 to 4 years prison terms,6.661097084830974e-07,3.951045413429757e-06,1.2453947084910356e-06,1,Sentences_Penalties
215,Columbia County,0.00017896865843426747,3.653195974698457e-06,0.00014906520802538867,1,Geography
216,criminal possession of a controlled substance,0.019411405695948295,0.0007081643957457598,0.019395343321889576,1,Criminal_Offenses
217,"Mugglin, J.",2.807168359024099e-07,1.4203235559518352e-13,5.077595990973346e-07,1,People_Roles
218,criminal sale of a controlled substance,0.023367688876469443,0.000184235777148186,0.023436652138895,1,Criminal_Offenses
219,"February 19, 1999",5.058650658256608e-07,2.110396653259953e-08,2.543955158020659e-07,1,Dates_Times
220,extensive criminal background,1.1687779911234575e-07,1.3503331409791552e-07,2.3825838521623802e-07,0,Criminal_Offenses
221,April 2007 probation revocation,7.430704746042768e-11,6.095557720785977e-12,3.7287896347823303e-11,0,Dates_Times
222,"Herlihy, P. J.",1.4252454134542682e-08,5.34212831575943e-11,1.0780911610662001e-08,0,People_Roles
223,three years prison term,9.638251870640854e-07,5.71694209317718e-07,1.0209150755082727e-06,0,Sentences_Penalties
224,"sentence imposed September 9, 1986",1.5582543992165227e-10,2.0955347353907544e-12,1.2137594328247235e-10,0,Dates_Times
225,narcotics addiction,4.7948458414485785e-06,7.446105723568863e-06,3.532970992730893e-06,0,Miscellaneous
226,"February 10, 2014",2.249618853018518e-07,2.1673422149261628e-07,1.646738878118038e-07,0,Dates_Times
227,"February 11, 2008",6.91030811615952e-07,2.0351039915590498e-06,5.418864679583129e-07,0,Dates_Times
228,four years in prison,3.3457918364226786e-06,7.310932852728785e-07,3.8119226635853756e-06,0,Sentences_Penalties
229,Judge LaBuda,5.512268297876372e-07,2.6731294302950494e-10,1.3963392472106362e-07,0,People_Roles
230,"March 9, 1972",8.849347999192966e-07,4.423540498767127e-07,7.388917265326349e-07,1,Dates_Times
231,second felony offender,3.2029061129172715e-06,8.588813966040815e-08,5.802590512730287e-06,1,Criminal_Offenses
232,criminal possession of marijuana,0.0002326173960554499,7.826603452515863e-06,8.009007570740547e-05,1,Criminal_Offenses
233,possession of marijuana,0.0013101856519034498,0.010099380950915034,0.0006177768198250327,1,Criminal_Offenses
234,County Court of Albany County,8.371151795166195e-05,4.777938322779834e-08,8.870008591918492e-05,1,Courts_Corrections
235,criminal possession of a controlled substance,0.002823630307789855,0.00013021832697929995,0.0024731985487757833,1,Criminal_Offenses
236,"Main, J.",2.394507509513096e-09,1.7609121701418414e-10,1.4097342859444405e-09,1,People_Roles
237,"Harris County, State of Texas",2.05313361134903e-09,1.023176832485466e-07,1.6133992149611682e-09,1,Geography
238,City of Albany,4.431970817703964e-05,6.086799713173985e-06,2.369477258938848e-05,1,Geography
239,"February 13, 1974",4.677662874153306e-05,3.4520060049661032e-06,4.1285032043979526e-05,1,Dates_Times
240,three-year term of probation,9.293055222730369e-07,8.53511663053287e-08,1.1290566577991397e-06,0,Sentences_Penalties
241,"$10,000 fine",7.417836819821688e-07,2.5824952158532882e-06,9.552217256101379e-07,0,Sentences_Penalties
242,terminated from drug treatment program,1.1274838143482353e-09,4.750217950599073e-10,1.2380260758774168e-09,0,Sentences_Penalties
243,"June 18, 1992",9.172617183352454e-06,6.437874004303437e-06,9.766322812210942e-06,0,Dates_Times
244,alcohol problem,7.862323268127953e-08,3.9818503030043773e-07,7.116387648601008e-08,0,Miscellaneous
245,drug felonies,5.370781082689531e-07,1.0957328791884933e-06,4.435445896011455e-07,0,Criminal_Offenses
246,Day Reporting Center,3.2487020162286595e-09,3.937927315028434e-09,2.9651613137208408e-09,0,Courts_Corrections
247,three years postrelease supervision,2.6239106984672808e-09,1.5435476390133493e-10,2.8011775046256515e-09,0,Sentences_Penalties
248,drug enterprise,4.7153811187949434e-08,5.811844491268683e-08,4.429690619139992e-08,0,Criminal_Offenses
249,"March 28, 1994",3.423001815943675e-05,7.399437121170761e-06,3.644204311260922e-05,0,Dates_Times
250,convictions,0.000347957747775273,0.0013431360609319654,0.00037294764876767044,1,Sentences_Penalties
251,narcotic addiction,0.0006866212190422081,0.00017739952208288223,0.0006093822931912109,1,Miscellaneous
252,aftercare,4.936366617053228e-06,2.2052547171539477e-05,3.4113320924592937e-06,1,Miscellaneous
253,defendant,0.004718154743485835,0.0006695978920540346,0.005053337312511592,1,People_Roles
254,drug-related arrests,6.570626318174709e-06,3.975155132425593e-05,6.193618315264264e-06,1,Criminal_Offenses
